Stage,Resolution,Channels,Operator,No. of Layers
1,-,17,Linear,1
2,1 × 1,512,AdaptiveAvgPool2d,1
3,112 × 112,64,BatchNorm2d,1
4,112 × 112,64,Conv2d,1
5,112 × 112,64,ReLU,1
6,14 × 14,256,BatchNorm2d,5
7,14 × 14,256,Conv2d,5
8,14 × 14,256,ReLU,4
9,28 × 28,128,BatchNorm2d,5
10,28 × 28,128,Conv2d,5
11,28 × 28,128,ReLU,4
12,56 × 56,64,BatchNorm2d,4
13,56 × 56,64,Conv2d,4
14,56 × 56,64,MaxPool2d,1
15,56 × 56,64,ReLU,4
16,7 × 7,512,BatchNorm2d,5
17,7 × 7,512,Conv2d,5
18,7 × 7,512,ReLU,4
