experiment,class_idx,class_name,precision,recall,f1,support,overall_accuracy,overall_accuracy_top5,overall_loss
EfficientNetB2_FineTuned_results,0,Corn___Common_Rust,0.7628205128205128,0.9916666666666668,0.8623188405797101,120,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,1,Corn___Gray_Leaf_Spot,0.8888888888888888,0.1538461538461538,0.2622950819672132,52,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,2,Corn___Healthy,0.9913793103448276,0.9829059829059827,0.9871244635193134,117,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,3,Corn___Northern_Leaf_Blight,0.7264150943396226,0.7777777777777778,0.7512195121951221,99,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,4,Potato___Early_Blight,0.978021978021978,0.89,0.9319371727748692,100,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,5,Potato___Healthy,1.0,0.1875,0.3157894736842105,16,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,6,Potato___Late_Blight,0.8521739130434782,0.98,0.911627906976744,100,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,7,Rice___Brown_Spot,0.5172413793103449,0.4838709677419355,0.5000000000000001,62,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,8,Rice___Healthy,0.7943262411347518,0.7466666666666667,0.7697594501718213,150,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,9,Rice___Leaf_Blast,0.5596330275229358,0.6161616161616161,0.5865384615384615,99,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,10,Rice___Neck_Blast,1.0,0.99,0.9949748743718592,100,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,11,Sugarcane__Bacterial Blight,0.6,0.9,0.7200000000000001,10,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,12,Sugarcane__Healthy,0.9090909090909092,1.0,0.9523809523809524,10,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,13,Sugarcane__Red Rot,0.4,0.6,0.48,10,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,14,Wheat___Brown_Rust,0.9204545454545454,0.8901098901098901,0.9050279329608938,91,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,15,Wheat___Healthy,0.9658119658119658,1.0,0.982608695652174,113,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_FineTuned_results,16,Wheat___Yellow_Rust,0.978494623655914,0.978494623655914,0.978494623655914,93,83.53204172876303,99.55290611028316,0.4771161057754529
EfficientNetB2_Frozen_results,0,Corn___Common_Rust,0.0,0.0,0.0,120,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,1,Corn___Gray_Leaf_Spot,0.0,0.0,0.0,52,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,2,Corn___Healthy,0.0,0.0,0.0,117,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,3,Corn___Northern_Leaf_Blight,0.0084033613445378,0.0101010101010101,0.0091743119266055,99,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,4,Potato___Early_Blight,0.0,0.0,0.0,100,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,5,Potato___Healthy,0.0,0.0,0.0,16,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,6,Potato___Late_Blight,0.0,0.0,0.0,100,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,7,Rice___Brown_Spot,0.0,0.0,0.0,62,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,8,Rice___Healthy,0.0,0.0,0.0,150,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,9,Rice___Leaf_Blast,0.0833333333333333,0.0101010101010101,0.018018018018018,99,21.758569299552907,47.83904619970194,11.073260491024412
